name,category,city,address,website,phone,email,price,n_reviews
Agriturismo La Finca,Estancia en granjas,"Riviera, Suiza","Al Quatro 4, 6705 Cresciano, Suiza",lafinca.ch,+41 76 387 78 83,info@lafinca.ch,63,66
Ostello Montebello - Bellinzona Youth Hostel,Ostello della gioventù,"Bellinzona, Suiza","Via Nocca 4, 6500 Bellinzona, Suiza",ostellomontebello.ch,+41 91 825 15 22,bellinzona@youthhostel.ch,88,303
Hotel Ristorante Unione,Hotel de 3 estrellas,"Bellinzona, Suiza","Via Henri Guisan 1, 6500 Bellinzona, Suiza",hotelunione.org,+41 91 825 55 77,66o@hotelunione.ch,171,322
Hotel La Tureta,Hotel de 4 estrellas,"Giubiasco, Bellinzona, Suiza","Piazza Grande 43, 6512 Giubiasco, Suiza",latureta.ch,+41 91 857 40 40,hotel@latureta.ch,205,597
Hotel Gamper,Hotel,"Bellinzona, Suiza","Viale Stazione 29, 6500 Bellinzona, Suiza",hotel-gamper.ch,+41 91 825 37 92,hotel-gamper@bluemail.ch,170,389
Hotel Liberty,Hotel,"Bellinzona, Suiza","Vicolo N°, Vicolo Nord 1, 6500 Bellinzona, Suiza",hotelliberty.ch,+41 91 825 19 19,info@hotelliberty.ch,151,544
Leon d'Or,Hotel,"Bellinzona, Suiza","Via Ludovico il Moro 5, 6500 Bellinzona, Suiza",yellow.local.ch,+41 91 825 11 79,customercare@localsearch.ch,147,129
Hotel La Perla,Hotel de 3 estrellas,"Sant'Antonino, Suiza","Via Cantonale 39, 6592 Sant'Antonino, Suiza",hotelperla.ch,+41 91 850 29 50,info@hotelperla.ch,194,670
6532 Smart Hotel - Self check-in,Hotel,"Arbedo-Castione, Suiza","Via S. Gottardo 1, 6532 Arbedo-Castione, Suiza",6532smarthotel.ch,+41 91 822 30 50,info@6532smarthotel.ch,125,66
Hotel Ristorante Cereda,Hotel,"Sementina, Bellinzona, Suiza","Via Locarno 10, 6514 Sementina, Suiza",hotelcereda.ch,+41 91 851 80 80,info@hotelcereda.ch,188,222
Hotel Bellavista,Hotel de 3 estrellas,"Vira, Gambarogno, Suiza","La Stráda d'Indéman 18, 6574 Vira (Gambarogno), Suiza",hotelbellavista.ch,+41 91 795 11 15,info@hotelbellavista.ch,236,308
