name,category,city,email,address,website,phone,price,n_reviews
Mountain Hostel Gimmelwald,AlbergueAlbergue coqueto con desayuno gratuito,"Lauterbrunnen, Suiza",info@mountainhostel.com,"Nidrimatten, Chilchstatt, 3826 Lauterbrunnen, Suiza",mountainhostel.com,+41 33 855 17 04,96,444
Hotel Jungfrau,Hotel,"Lauterbrunnen, Suiza",info@jungfrau-lauterbrunnen.ch,"Fuhren 434, 3822 Lauterbrunnen, Suiza",jungfrau-lauterbrunnen.ch,+41 78 227 28 84,309,230
Hotel Oberland,Hotel de 2 estrellas,"Lauterbrunnen, Suiza",info@hoteloberland.ch,"Auf der Fuhren 452B, 3822 Lauterbrunnen, Suiza",hoteloberland.ch,+41 33 855 12 41,410,626
Hotel Eiger Muerren,Hotel de 4 estrellas,"Mürren, Lauterbrunnen, Suiza",info@hoteleiger.com,"Ägerten 1079C, 3825 Mürren, Suiza",hoteleiger.com,+41 33 856 54 54,324,637
"Jungfrau Lodge, Swiss Mountain Hotel",Hotel,"Grindelwald, Suiza",info@jungfraulodge.ch,"Dorfstrasse 49, 3818 Grindelwald, Suiza",jungfraulodge.ch,+41 33 854 41 41,164,582
Hotel Staubbach,Hotel informal con desayuno gratuito,"Lauterbrunnen, Suiza",hotel@staubbach.com,"Im Rohr 424F, 3822 Lauterbrunnen, Suiza",staubbach.com,+41 33 855 54 54,0,524
Beausite Park Hotel & Spa,Hotel de 4 estrellas,"Wengen, Lauterbrunnen, Suiza",hotel@beausiteparkhotel.ch,"Wengi, 3823 Wengen BE, Suiza",beausiteparkhotel.ch,+41 33 856 51 61,434,328
Hotel Jungfraublick,Hotel de 3 estrellas,"Wengen, Lauterbrunnen, Suiza",info@jungfraublick.com,"Galliweidli 1445A, 3823 Wengen BE, Suiza",jungfraublick.com,+41 33 856 27 27,306,269
Hotel Regina Wengen,Hotel de 4 estrellas,"Wengen, Lauterbrunnen, Suiza",reservation@hotelregina.ch,"Zentrum, 3823 Wengen BE, Suiza",hotelregina.ch,+41 33 856 58 58,489,278
Esther's Guesthouse,Bed & Breakfast,"Gimmelwald, Lauterbrunnen, Suiza",info@esthersguesthouse.ch,"Chilchstatt 751a, 3826 Gimmelwald, Suiza",esthersguesthouse.ch,+41 33 855 54 88,182,75
Hotel Falken,Hotel de 3 estrellas de 1895 con bar restaurante,"Wengen, Lauterbrunnen, Suiza",info@hotelfalken.com,"Waldbort, 3823 Wengen BE, Suiza",hotelfalken.com,+41 33 856 51 21,439,172
Hotel Alpina,Hotel en acantilado con restaurante,"Mürren, Lauterbrunnen, Suiza",info@alpinamuerren.ch,"Hauptstrasse, 3825 Mürren, Suiza",alpinamuerren.ch,+41 33 855 13 61,257,357
Hotel Schönegg,Hotel de 3 estrellas,"Wengen, Lauterbrunnen, Suiza",mail@hotel-schoenegg.ch,"Auf der Burg 1401c, 3823 Wengen BE, Suiza",hotel-schoenegg.ch,+41 33 855 34 22,369,232
Hotel Edelweiss Superior,Hotel de 3 estrellas,"Mürren, Lauterbrunnen, Suiza",info@edelweiss-muerren.ch,"Rauft, 3825 Mürren, Suiza",edelweiss-muerren.ch,+41 33 856 56 00,288,573
BEATUS Wellness- & Spa-Hotel,Hotel de 5 estrellas,"Merligen, Sigriswil, Suiza",welcome@beatus.ch,"Seestrasse 300, 3658 Merligen, Suiza",beatus.ch,+41 33 748 04 34,785,689
Jungfrau,Hotel de 3 estrellas,"Mürren, Lauterbrunnen, Suiza",mail@hoteljungfrau.ch,"Im Grueben 1051B, 3825 Mürren, Suiza",hoteljungfrau.ch,+41 33 856 64 64,245,188
Victoria-Jungfrau Grand Hotel & Spa,"Hotel de 5 estrellas con restaurantes, spa y piscina","Interlaken, Suiza",receptionvj@spanescens.com,"Höheweg 41, 3800 Interlaken, Suiza",victoria-jungfrau.ch,+41 33 828 28 28,1030,2332
Berghaus Männlichen,HotelRestaurante europeo en lo alto de una montaña,"Grindelwald, Suiza",info@berghaus-maennlichen.ch,"Männlichen, 3818 Grindelwald, Suiza",berghaus-maennlichen.ch,+41 33 853 10 68,190,1151
Berggasthaus First,Restaurante · ,"Grindelwald, Suiza",administration@berggasthausfirst.ch,"Bergstation First, 3818 Grindelwald, Suiza",berggasthausfirst.ch,+41 33 828 77 88,217,1076
Aspen alpin lifestyle hotel,"Hotel de 4 estrellas refinado con restaurante, bar y spa","Grindelwald, Suiza",info@hotel-aspen.ch,"Aspen 1, 3818 Grindelwald, Suiza",hotel-aspen.ch,+41 33 854 40 00,467,779
Hotel Horner,Hotel tranquilo con bar restaurante,"Lauterbrunnen, Suiza",mail@hornerpub.ch,"Beim Pfrundhaus 417A, 3822 Lauterbrunnen, Suiza",hornerpub.ch,+41 33 855 16 73,0,642
The Taverne Restaurant,Restaurante · Abierto ahora,"Wengen, Lauterbrunnen, Suiza",info@hotelbernerhof.com,"Wengiboden 1398b, 3823 Wengen BE, Suiza",hotelbernerhof.com,+41 33 855 33 66,265,461
"Baeren Hotel, The Bear Inn",Hotel de 3 estrellas,"Wilderswil, Suiza",info@baeren.ch,"Oberdorfstrasse 1, 3812 Wilderswil, Suiza",baeren.ch,+41 33 827 02 02,166,554
Belvedere Swiss Quality Hotel Grindelwald,Hotel de 4 estrellas sencillo con spa y restaurantes,"Grindelwald, Suiza",hotel@belvedere-grindelwald.ch,"Dorfstrasse 53, 3818 Grindelwald, Suiza",belvedere-grindelwald.ch,+41 33 888 99 99,906,889
Dorint Blüemlisalp,"Hotel lujoso con spa, restaurante y bar","Beatenberg, Suiza",info@dorint.com,"Schmockenstrasse 163, 3803 Beatenberg, Suiza",hotel-interlaken.dorint.com,+41 33 841 41 11,403,1522
