name,category,city,address,email,website,phone,price,n_reviews
Waldhotel Arosa,Hotel de 4 estrellas,"Arosa, Suiza","Prätschlistrasse 38, 7050 Arosa, Suiza",reservation@waldhotel.ch,waldhotel.ch,+41 81 378 55 55,226,566
Hotel AVES Arosa,Hotel,"Arosa, Suiza","Poststrasse 29, 7050 Arosa, Suiza",homebase@aves-arosa.ch,aves-arosa.ch,+41 81 544 98 00,132,202
Faern Arosa Altein,Hotel de 4 estrellas,"Arosa, Suiza","Alteinstrasse 33, 7050 Arosa, Suiza",hello@faernresorts.com,faernresorts.com,+41 81 378 86 86,160,183
Arosa Vetter Hotel,Hotel de 3 estrellas,"Arosa, Suiza","Seeblickstrasse 9, 7050 Arosa, Suiza",info@arosa-vetter-hotel.ch,arosa-vetter-hotel.ch,+41 81 378 80 00,197,387
Postresidenz am See,Hotel,"Arosa, Suiza","Oberseepromenade 28, 7050 Arosa, Suiza",info@postresidenzamsee.ch,postresidenzamsee.ch,+41 81 382 00 88,214,85
Hotel Seehof Arosa,Hotel,"Arosa, Suiza","Unterseestrasse 21, 7050 Arosa, Suiza",info@seehof-arosa.ch,seehof-arosa.com,+41 81 377 15 41,199,279
Hotel Stoffel,Hotel,"Arosa, Suiza","Eggastrasse 25, 7050 Arosa, Suiza",info@hotelstoffel.ch,hotelstoffel.ch,+41 81 378 72 80,140,226
Blatter’s Arosa Hotel,Hotel,"Arosa, Suiza","u. Waldpromenade, 7050 Arosa, Suiza",arnes.blatter@blatters-hotel.ch,blatters-hotel.ch,+41 81 378 66 66,199,465
BelArosa Suiten & Wellness Hotel,Hotel de 4 estrellas,"Arosa, Suiza","Hotel BelArosa, Eichhörnliweg 1, 7050 Arosa, Suiza",support@dachcom.ch,belarosa.ch,+41 81 378 89 89,401,104
Sunstar Hotel Arosa,Hotel de 4 estrellas,"Arosa, Suiza","Seewaldstrasse 12, 7050 Arosa, Suiza",arosa@sunstar.ch,arosa.sunstar.ch,+41 81 378 77 77,186,371
Cristallo Arosa Hotel,Hotel en una colina con bar de tapas y spa,"Arosa, Suiza","Poststrasse 103, 7050 Arosa, Suiza",hotel@cristalloarosa.ch,cristalloarosa.ch,+41 81 521 78 38,199,222
Hotel Alpina Hotel,Hotel,"Arosa, Suiza","Eichhörnliweg 1, 7050 Arosa, Suiza",support@dachcom.ch,alpinarosa.ch,+41 81 378 89 89,269,12
BelArosa Hotel Superior,Hotel,"Arosa, Suiza","Eichhörnliweg 1, 7050 Arosa, Suiza",support@dachcom.ch,belarosa.ch,+41 81 378 89 89,400,63
Provisorium13,Restaurante,"Arosa, Suiza","Poststrasse 34, 7050 Arosa, Suiza",hotel@provisorium13.ch,provisorium13.ch,+41 81 377 12 16,196,392
Hotel Restaurant Gspan,Hotel,"Arosa, Suiza","Gspanstrasse 27, 7050 Arosa, Suiza",gspan@bluewin.ch,gspan.ch,+41 81 377 14 94,204,309
Pension Arosa,Pensión,"Arosa, Suiza","Poststrasse 69, 7050 Arosa, Suiza",host@pensionarosa.ch,pensionarosa.ch,+41 81 511 03 04,139,4
Hotel Alpensonne Arosa,Hotel de 3 estrellas,"Arosa, Suiza","Poststrasse 217, 7050 Arosa, Suiza",arosa@hotelalpensonne.ch,hotelalpensonne.ch,+41 81 377 15 47,209,157
Belmont Arosa,Casa rural,"Arosa, Suiza","Poststrasse 79, 7050 Arosa, Suiza",post@belmont-arosa.ch,belmont-arosa.ch,+41 81 377 33 18,259,12
Arosa Kulm Hotel & Alpin Spa,Hotel de 5 estrellas,"Arosa, Suiza","Innere Poststrasse, 7050 Arosa, Suiza",info@arosakulm.ch,arosakulm.ch,+41 81 378 88 88,0,402
Hotel Astoria,Hotel de 3 estrellas,"Arosa, Suiza","Alteinstrasse 35, 7050 Arosa, Suiza",hotel@astoria.ch,astoria.ch,+41 81 378 72 72,0,180
Golf- und Sporthotel Hof Maran,Hotel de 4 estrellas,"Arosa, Suiza","Maranerstrasse 66, 7050 Arosa, Suiza",hotel@hofmaran.ch,hofmaran.ch,+41 81 378 51 51,0,167
Hotel Hohe Promenade,Hotel,"Arosa, Suiza","Hohe Promenade 4, 7050 Arosa, Suiza",hotel@hohe-promenade.ch,hohe-promenade.ch,+41 81 378 77 00,0,153
Hotel Sonnenhalde Garni,Hotel de 3 estrellas,"Arosa, Suiza","Sonnenberg 5, 7050 Arosa, Suiza",info@sonnenhalde-arosa.ch,sonnenhalde-arosa.ch,+41 81 378 44 44,0,81
Spenglers Inn Hotel Davos,Hotel,"Davos, Suiza","Tobelmühlestrasse 2, 7270 Davos, Suiza",info@spenglersinn.ch,spenglersinn.ch,+41 81 415 16 50,66,212
AlpenGold Hotel,Hotel de 5 estrellas lujoso con restaurante y spa,"Davos, Suiza","Baslerstrasse 9, 7260 Davos, Suiza",christine.lee@ihg.com,ihg.com,+41 81 414 04 00,257,867
Revier Mountain Lodge Lenzerheide,Hotel,"Lenzerheide, Vaz/Obervaz, Suiza","Voa Principala 84, 7078 Lenzerheide, Suiza",hello@revierhotels.com,lenzerheide.revierhotels.com,+41 58 330 66 66,164,582
Schatzalp,Hotel de 3 estrellas,"Davos, Suiza","Talstation Schatzalp Bahn, Platz / Schatzalp CH, Promenade 63, 7270 Davos, Suiza",info@schatzalp.ch,schatzalp.ch,+41 81 415 51 51,314,945
Hotel Haus am Wald,Hotel,"Arosa, Suiza","Seeblickstrasse 3, 7050 Arosa, Suiza",hausamwald@bluewin.ch,hausamwald.ch,+41 81 377 31 38,0,67
Hotel Strela,Hotel de 3 estrellas,"Davos, Suiza","Obere Strasse 39, 7270 Davos Platz, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 65 90,146,356
Alpenblick Bergrestaurant & Hotel,Suiza · Cerrado ⋅ Apertura: 9:00 (mar),NO_CITY,"Ifängiweg 9, 7050 Arosa, Suiza",post@alpenblickarosa.ch,alpenblickarosa.ch,+41 81 377 14 28,0,586
Hard Rock Hotel Davos,Hotel de 4 estrellas,NO_CITY,"Tobelmühlestrasse 2, 7270 Davos, Suiza",hotels@hardrock.com,hotel.hardrock.com,+41 81 415 16 00,179,1375
Sunstar Hotel Lenzerheide,Hotel de 4 estrellas de montaña sencillo con piscina,"Lenzerheide, Vaz/Obervaz, Suiza","Voa Sporz 8, 7078 Lenzerheide, Suiza",lenzerheide@sunstar.ch,lenzerheide.sunstar.ch,+41 81 385 88 88,213,375
Hotel Krone,Hotel de 3 estrellas,"Churwalden, Suiza","Hauptstrasse 155, 7075 Churwalden, Suiza",info@kronechurwalden.ch,kronechurwalden.ch,+41 81 552 57 57,144,290
