name,category,city,address,email,website,phone,price,n_reviews
Gstaaderhof,Hotel de 4 estrellas,"Gstaad, Saanen, Suiza","Lauenenstrasse 19, 3780 Gstaad, Suiza",info@gstaaderhof.ch,gstaaderhof.ch,+41 33 748 63 63,204,483
Le Grand Bellevue,Hotel de 5 estrellas premium de alta cocina y spa,"Gstaad, Saanen, Suiza","Untergstaadstrasse 17, 3780 Gstaad, Suiza",NO_EMAIL,bellevue-gstaad.ch,+41 33 748 00 00,582,508
HUUS Gstaad Hotel,Hotel de 4 estrellas,"Saanen, Suiza","Schönriedstrasse 74, 3792 Saanen, Suiza",welcome@huusgstaad.com,huusgstaad.com,+41 33 748 04 04,283,856
Hotel Alphorn Gstaad GmbH,Hotel de 3 estrellas exclusivo con restaurante refinado,"Gstaad, Saanen, Suiza","Gsteigstrasse 51, 3780 Gstaad, Suiza",office@alphorn-gstaad.ch,alphorn-gstaad.ch,+41 33 748 45 45,236,248
Hotel-Restaurant Arc-en-ciel,Hotel de 4 estrellas exclusivo de estilo rústico,"Gstaad, Saanen, Suiza","Egglistrasse 24, 3780 Gstaad, Suiza",NO_EMAIL,arc-en-ciel.ch,+41 33 748 43 43,234,1109
Hotel Le Grand Chalet,Hotel de 4 estrellas,"Gstaad, Saanen, Suiza","Neueretstrasse 43, 3780 Gstaad, Suiza",NO_EMAIL,grandchalet.ch,+41 33 748 76 76,360,66
Sport-Hotel Victoria,Hotel de 3 estrellas,"Gstaad, Saanen, Suiza","Promenade 72, 3780 Gstaad, Suiza",NO_EMAIL,victoria-gstaad.ch,+41 33 748 44 22,295,306
Rössli,Hotel de 3 estrellas,"Gstaad, Saanen, Suiza","Promenade 10, 3780 Gstaad, Suiza",NO_EMAIL,posthotelroessli.ch,+41 33 748 42 42,241,519
Ermitage Wellness & Spa Hotel,Hotel de 5 estrellas amplio con saunas y 2 piscinas,"Gstaad, Saanen, Suiza","Dorfstrasse 46, 3778 Gstaad, Suiza",welcome@ermitage.ch,ermitage.ch,+41 33 748 04 30,549,716
Gstaad Palace,Hotel de 5 estrellas,"Gstaad, Saanen, Suiza","Palacestrasse 28, 3780 Gstaad, Suiza",NO_EMAIL,palace.ch,+41 33 748 50 00,0,842
The Mansard,Hotel,"Gstaad, Saanen, Suiza","Untergstaadstrasse 26, 3780 Gstaad, Suiza",NO_EMAIL,the-mansard.ch,+41 33 748 40 00,387,13
Jugendherberge Gstaad Saanenland,Jugendherberge,"Saanen, Suiza","Spitzhornweg 25, 3792 Saanen, Suiza",NO_EMAIL,youthhostel.ch,+41 33 744 13 43,110,235
Bellerive Hotel,Hotel de 3 estrellas,"Gstaad, Saanen, Suiza","Bellerivestrasse 42, 3780 Gstaad, Suiza",info@bellerive-gstaad.ch,bellerive-gstaad.ch,+41 33 748 88 33,266,106
Hotel Spitzhorn,Hotel de 3 estrellas,"Saanen, Suiza","Spitzhornweg 30, 3792 Saanen, Suiza",NO_EMAIL,spitzhorn.ch,+41 33 748 41 41,270,360
