name,category,city,address,email,website,phone,price,n_reviews
Hôtel de Verbier,Hotel de 4 estrellas,"Verbier, Val de Bagnes, Suiza","Pl. Centrale 2, 1936 Verbier, Suiza",info@hoteldeverbier.com,hoteldeverbier.com,+41 27 564 40 00,227,110
W Verbier,HotelResort lujoso con 4 restaurantes y spa,"Verbier, Val de Bagnes, Suiza","Rue de Médran 70, 1936 Verbier, Suiza",NO_EMAIL,marriott.com,+41 27 472 88 88,644,1012
No 8 Bed & Bar,Hotel,"Verbier, Val de Bagnes, Suiza","Pl. Centrale 8, 1936 Verbier, Suiza",NO_EMAIL,numero8verbier.ch,+41 27 565 05 56,143,40
Hôtel A Lârze,Hotel,"Le Châble, Val de Bagnes, Suiza","Rte de Corberaye 32, 1934 Le Châble, Suiza",info@alarze.ch,alarze.ch,+41 27 776 17 10,168,109
Hôtel Cordée des Alpes,Hotel de 4 estrellas,"Verbier, Val de Bagnes, Suiza","Rue du Ctre sportif 24, 1936 Verbier, Suiza",NO_EMAIL,kvhotels.com,+41 27 775 45 45,0,155
Mont-Fort Swiss Lodge,Hotel,"Le Châble, Val de Bagnes, Suiza","Place Curala, 1934 Le Châble, Suiza",NO_EMAIL,montfortswisslodge.ch,+41 79 853 40 87,133,44
Hôtel les Chamois,Hotel de 3 estrellas,"Verbier, Val de Bagnes, Suiza","Rue de Médran 9A, 1936 Verbier, Suiza",info@hotel-chamois.ch,hotel-chamois.ch,+41 27 771 64 02,0,116
Hôtel Montpelier,Hotel de 3 estrellas,"Verbier, Val de Bagnes, Suiza","Rue du Ctre sportif 37, 1936 Verbier, Suiza",NO_EMAIL,kvhotels.com,+41 27 775 50 40,0,177
Hôtel Ermitage Verbier,Hotel de 3 estrellas,"Verbier, Val de Bagnes, Suiza","Pl. Centrale 18, 1936 Verbier, Suiza",NO_EMAIL,ermitage-verbier.ch,+41 27 771 64 77,0,109
Experimental Chalet Verbier,Hotel de 4 estrellas,"Verbier, Val de Bagnes, Suiza","Rte de Verbier Station 55, 1936 Verbier, Suiza",info@experimentalchalet.com,experimentalchalet.com,+41 27 775 40 00,0,102
Hôtel Le Vanessa,Hotel,"Verbier, Val de Bagnes, Suiza","Chem. des Vernes 1, 1936 Verbier, Suiza",NO_EMAIL,hotelvanessa.ch,+41 27 775 28 00,0,166
La Petite Auberge,Restaurante · ,"Val de Bagnes, Suiza","Rte de Mauvoisin 102, 1947 Versegères, Suiza",cafe@petiteauberge.ch,petiteauberge.ch,+41 27 776 14 61,116,58
Le Chalet d’Adrien,Hotel de 5 estrellas,"Verbier, Val de Bagnes, Suiza","Rte des Creux 91, 1936 Verbier, Suiza",info@chalet-adrien.com,chalet-adrien.com,+41 27 771 62 00,0,281
Hotel la Rotonde Hotel,Hotel de 3 estrellas,"Verbier, Val de Bagnes, Suiza","Chem. de la Barmète 2, 1936 Verbier, Suiza",NO_EMAIL,kvhotels.com,+41 27 771 65 25,0,58
Hôtel Mirabeau Verbier,Hotel de 3 estrellas,"Verbier, Val de Bagnes, Suiza","Rue de Ransou 72, 1936 Verbier, Suiza",mirabeau@verbier.ch,mirabeauhotel.ch,+41 27 771 63 35,0,65
Hôtel de la Poste,Hotel de 3 estrellas,"Verbier, Val de Bagnes, Suiza","Rue de Médran 12, 1936 Verbier, Suiza",hoteldelaposte@verbier.ch,hotelposteverbier.ch,+41 27 771 66 81,0,56
Le Farinet Verbier SA,Hotel,"Verbier, Val de Bagnes, Suiza","Pl. Centrale 6, 1936 Verbier, Suiza",NO_EMAIL,hotelfarinet.com,+41 27 771 66 26,0,330
Shed. HOTEL,Hotel,"Verbier, Val de Bagnes, Suiza","Rue de la poste 4, 1936 Verbier, Suiza",NO_EMAIL,shedhotels.com,+41 77 269 97 95,0,22
The Lodge,Lodge,"Verbier, Val de Bagnes, Suiza","Chem. de Plénadzeu 3, 1936 Verbier, Suiza",NO_EMAIL,virginlimitededition.com,+41 27 775 22 44,0,49
Le Chalet de Flore,Hotel elegante con bar y sauna,"Verbier, Val de Bagnes, Suiza","Rue de Médran 20, 1936 Verbier, Suiza",info@chalet-flore.ch,chalet-flore.ch,+41 79 884 11 68,0,61
Touristes,Hotel informal con jardín de esculturas,"Verbier, Val de Bagnes, Suiza","Rte de Verbier 134, 1936 Verbier, Suiza",customercare@localsearch.ch,yellow.local.ch,+41 27 771 21 47,0,85
Mont Gelé Verbier Guesthouse,Pensión,NO_CITY,"Rue de Médran 51, 1936 Verbier, Suiza",montgeleverbier@gmail.com,mont-gele.verbier-hotels.com,NO_PHONE,0,41
hotelski,Hotel,"Verbier, Val de Bagnes, Suiza","Rte de Verbier 134a, 1936 Verbier, Suiza",info@hotelski.ch,hotelski.ch,+41 27 771 21 47,0,22
Auberge La Tzoumaz,Suiza · ,"La Tzoumaz, Riddes, Suiza","Rte des Mayens 105, 1918 La Tzoumaz, Suiza",tzoumaz@netplus.ch,aubergelatzoumaz.com,+41 27 306 20 50,153,328
PAPILLON - La Tzoumaz,Hotel,"La Tzoumaz, Riddes, Suiza","La Tzoumaz Rue Centrale 28, 1918 La Tzoumaz, Suiza",NO_EMAIL,papillon-latzoumaz.ch,+41 27 565 19 56,194,8
The Ride Inn,Hotel,"Verbier, Val de Bagnes, Suiza","Chem. de la Barmète 7, 1936 Verbier, Suiza",rideinnverbier@gmail.com,therideinn.com,+41 77 224 22 11,0,12
la vallée blanche verbier alpine retreat,Alojamiento,"Verbier, Val de Bagnes, Suiza","Rue de Médran 16, 1936 Verbier, Suiza",NO_EMAIL,lavalleeblancheverbier.com,NO_PHONE,0,0
KV Hotels,Hotel,"Verbier, Val de Bagnes, Suiza","Chem. de Pra Michaud 1, 1936 Verbier, Suiza",NO_EMAIL,kvhotels.com,+41 27 771 42 65,0,1
No.14 Verbier,Chalet,"Verbier, Val de Bagnes, Suiza","Rue de la Velle 14, 1936 Verbier, Suiza",res@no14verbier.com,no14verbier.com,+41 79 203 75 49,0,18
Verbier One Chalet,Alojamiento en interiores,NO_CITY,"Rte de Verbier Station 1, 1936 Verbier, Suiza",NO_EMAIL,booking.com,NO_PHONE,0,0
Chalet Spa Verbier,ChaletCasa de huéspedes lujosa con spa y jacuzzi,"Verbier, Val de Bagnes, Suiza","Chem. de la Bergerie 60D, 1936 Verbier, Suiza",NO_EMAIL,chaletspaverbier.com,NO_PHONE,0,8
Bramble Ski,Chalet,NO_CITY,"Rue de la Poste 4, 1936 Verbier, Suiza",info@brambleski.com,brambleski.com,+41 27 776 21 64,0,10
Residence Emeraude,Hotel,NO_CITY,"Rue de Médran 43, 1936 Verbier, Suiza",relation.client@groupepvcp.com,pierreetvacances.com,NO_PHONE,0,2
