name,category,city,email,address,website,phone,price,n_reviews
"Jungfrau Lodge, Swiss Mountain Hotel",Hotel,"Grindelwald, Suiza",info@jungfraulodge.ch,"Dorfstrasse 49, 3818 Grindelwald, Suiza",jungfraulodge.ch,+41 33 854 41 41,164,582
Hotel Grindelwalderhof,Hotel de 3 estrellas informal con desayuno gratuito,"Grindelwald, Suiza",info@grindelwalderhof.ch,"Dorfstrasse 155, 3818 Grindelwald, Suiza",grindelwalderhof.ch,+41 33 854 40 10,380,491
BERGWELT GRINDELWALD | ALPINE DESIGN RESORT,Hotel de 4 estrellas,"Grindelwald, Suiza",welcome@bergwelt-grindelwald.com,"Bergwelt 4, 3818 Grindelwald, Suiza",bergwelt-grindelwald.com,+41 33 854 85 85,444,625
Sunstar Hotel Grindelwald,Hotel de 4 estrellas,"Grindelwald, Suiza",grindelwald@sunstar.ch,"Dorfstrasse 168, 3818 Grindelwald, Suiza",grindelwald.sunstar.ch,+41 33 854 77 77,576,1029
Hotel Bernerhof Grindelwald,Hotel de 3 estrellas acogedor con desayuno gratuito,"Grindelwald, Suiza",info@hotel-bernerhof-grindelwald.ch,"Dorfstrasse 89, 3818 Grindelwald, Suiza",hotel-bernerhof-grindelwald.ch,+41 33 853 10 21,289,263
Belvedere Swiss Quality Hotel Grindelwald,Hotel de 4 estrellas sencillo con spa y restaurantes,"Grindelwald, Suiza",hotel@belvedere-grindelwald.ch,"Dorfstrasse 53, 3818 Grindelwald, Suiza",belvedere-grindelwald.ch,+41 33 888 99 99,906,889
Romantik Hotel Schweizerhof Grindelwald,Hotel de 5 estrellas,"Grindelwald, Suiza",info@hotel-schweizerhof.com,"Swiss Alp Resort 1, 3818 Grindelwald, Suiza",hotel-schweizerhof.com,+41 33 854 58 58,1521,380
Central Hotel Wolter,Hotel de 3 estrellas,"Grindelwald, Suiza",fabrice@fabriceh.com,"Dorfstrasse 93, 3818 Grindelwald, Suiza",central-wolter.ch,+41 33 854 33 33,320,659
Hotel-Restaurant Kreuz & Post,Hotel de 3 estrellas,"Grindelwald, Suiza",info@kreuz-post.ch,"Dorfstrasse 85, 3818 Grindelwald, Suiza",kreuz-post.ch,+41 33 854 70 70,361,832
EIGER LODGE,Lodge,"Grindelwald, Suiza",info@eigerlodge.ch,"Grundstrasse 58, 3818 Grindelwald, Suiza",eigerlodge.ch,+41 33 854 38 38,209,959
Hotel und Restaurant Alpina,Hotel de 3 estrellas,"Grindelwald, Suiza",hotel@alpina-grindelwald.ch,"Kreuzweg 9, 3818 Grindelwald, Suiza",alpina-grindelwald.ch,+41 33 854 33 44,415,249
Aspen alpin lifestyle hotel,"Hotel de 4 estrellas refinado con restaurante, bar y spa","Grindelwald, Suiza",info@hotel-aspen.ch,"Aspen 1, 3818 Grindelwald, Suiza",hotel-aspen.ch,+41 33 854 40 00,515,779
Hotel Pinte Grindelwald,Hotel de 3 estrellas,"Grindelwald, Suiza",welcome@bergwelt-grindelwald.com,"Dorfstrasse 157, 3818 Grindelwald, Suiza",bellevue-pinte.ch,+41 33 853 12 34,415,432
Steinbock,Hotel,"Grindelwald, Suiza",hotel@steinbock-grindelwald.ch,"Dorfstrasse 189, 3818 Grindelwald, Suiza",steinbock-grindelwald.ch,+41 33 853 89 89,315,633
"Hôtel & Apartments Kirchbühl, The Originals Collection",Hotel de 4 estrellas,"Grindelwald, Suiza",info@kirchbuehl.ch,"Kirchbühlstrasse 23, 3818 Grindelwald, Suiza",kirchbuehl.ch,+41 33 854 40 80,424,518
Berggasthaus First,Restaurante · ,"Grindelwald, Suiza",administration@berggasthausfirst.ch,"Bergstation First, 3818 Grindelwald, Suiza",berggasthausfirst.ch,+41 33 828 77 88,217,1076
Lake Lodge,Albergue,"Iseltwald, Suiza",info@lakelodge.ch,"Feld 17, 3807 Iseltwald, Suiza",lakelodge.ch,+41 33 845 11 20,160,452
Alpenhof,Hotel de 3 estrellas,"Grindelwald, Suiza",info@alpenhof.ch,"Kreuzweg 36, 3818 Grindelwald, Suiza",alpenhof.ch,+41 33 853 52 70,298,262
Naturfreunde Hostel,Pensión,"Grindelwald, Suiza",grindelwald@nfh.ch,"Terrassenweg 18, 3818 Grindelwald, Suiza",grindelwald.nfh.ch,+41 33 853 13 33,165,174
Hotel Restaurant Fiescherblick,Hotel,"Grindelwald, Suiza",info@hotel-fiescherblick.ch,"Dorfstrasse 203, 3818 Grindelwald, Suiza",hotel-fiescherblick.ch,+41 33 853 18 81,538,298
Hotel Residence,Hotel alpino con restaurante y bar,"Grindelwald, Suiza",reservations@residence-grindelwald.ch,"Rybigässli 3, 3818 Grindelwald, Suiza",residence-grindelwald.ch,+41 33 854 55 55,253,225
B&B Brienz,Bed & Breakfast,"Brienz, Suiza",info@bnbbrienz.ch,"Talstrasse 8, 3855 Brienz, Suiza",bnbbrienz.ch,+41 75 404 06 66,155,103
Alpinhotel Bort,Hotel de 3 estrellas,"Grindelwald, Suiza",lavoz@huettenzauber.ch,"Firstbahn Mittelstation Bort, 3818 Grindelwald, Suiza",huettenzauber.ch,+41 33 853 17 62,280,862
Seehotel Bären,Hotel,"Brienz, Suiza",info@seehotel-baeren-brienz.ch,"Hauptstrasse 72, 3855 Brienz, Suiza",baeren-brienz.ch,+41 33 951 24 12,186,423
Hotel Jungfraublick,Hotel de 3 estrellas,"Wengen, Lauterbrunnen, Suiza",info@jungfraublick.com,"Galliweidli 1445A, 3823 Wengen BE, Suiza",jungfraublick.com,+41 33 856 27 27,305,269
Beausite Park Hotel & Spa,Hotel de 4 estrellas,"Wengen, Lauterbrunnen, Suiza",hotel@beausiteparkhotel.ch,"Wengi, 3823 Wengen BE, Suiza",beausiteparkhotel.ch,+41 33 856 51 61,434,328
Berghaus Männlichen,HotelRestaurante europeo en lo alto de una montaña,"Grindelwald, Suiza",info@berghaus-maennlichen.ch,"Männlichen, 3818 Grindelwald, Suiza",berghaus-maennlichen.ch,+41 33 853 10 68,190,1151
Hotel Tourist Hotel,Hotel,"Meiringen, Suiza",info@hoteltourist.ch,"Grimselstrasse 82, 3860 Meiringen, Suiza",hoteltourist.ch,+41 33 971 10 44,160,287
Hotel Eiger Muerren,Hotel de 4 estrellas,"Mürren, Lauterbrunnen, Suiza",info@hoteleiger.com,"Ägerten 1079C, 3825 Mürren, Suiza",hoteleiger.com,+41 33 856 54 54,324,637
Hotel-Restaurant Wetterhorn,Hotel,"Grindelwald, Suiza",wetterhorn@grindelwald.ch,"Obere Gletscherstrasse 159, 3818 Grindelwald, Suiza",wetterhorn-hotel.ch,+41 33 853 12 18,236,653
Boutique Hotel / Restaurant / Bar Bären Ringgenberg,Hotel,"Ringgenberg, Suiza",hotel@Baeren-ringgenberg.ch,"Hauptstrasse 128, 3852 Ringgenberg, Suiza",baeren-ringgenberg.ch,+41 33 822 19 31,163,260
Parkhotel Du Sauvage,Hotel de 4 estrellas,"Meiringen, Suiza",info@sauvage.ch,"Bahnhofstrasse 30, 3860 Meiringen, Suiza",sauvage.ch,+41 33 972 18 80,222,413
Seehotel Bönigen,Hotel de 3 estrellas,"Bönigen, Suiza",info@seehotel-boenigen.ch,"Seestrasse 22, 3806 Bönigen, Suiza",seehotel-boenigen.ch,+41 33 827 07 70,261,374
