name,category,city,address,website,phone,email,price,n_reviews
Hostel Montarina,Hotel,"Lugano, Suiza","Via Montarina 1, 6900 Lugano, Suiza",montarina.ch,+41 91 966 72 72,info@montarina.com,83,483
Hotel Pestalozzi,Hotel,"Lugano, Suiza","Piazza Dell Indipendenza 9, 6900 Lugano, Suiza",pestalozzi-lugano.ch,+41 91 921 46 46,info@pestalozzi-lugano.ch,138,793
Hotel Splendide Royal Lugano,Hotel de 5 estrellas de lujo junto al lago con restaurante,"Lugano, Suiza","Riva Antonio Caccia 7, 6900 Lugano, Suiza",splendide.ch,+41 91 985 77 11,hr@splendide.ch,539,1204
Continental Parkhotel Lugano,Hotel,"Lugano, Suiza","Via Basilea 28, 6900 Lugano, Suiza",continentalparkhotel.com,+41 91 966 11 12,info@continentalparkhotel.com,199,781
International au Lac Historic Lakeside Hotel,Hotel de 3 estrellas,"Lugano, Suiza","Via Nassa 68, 6900 Lugano, Suiza",hotel-international.ch,+41 91 922 75 41,info@hotel-international.ch,302,585
Hotel Admiral,Hotel de 4 estrellas moderno con piscina en la azotea,"Lugano, Suiza","Via Geretta 15, 6900 Lugano, Suiza",luganohoteladmiral.com,+41 91 986 38 38,info@luganohoteladmiral.ch,194,1314
Hotel Colorado Lugano,Hotel de 3 estrellas,"Lugano, Suiza","Via Clemente Maraini 19, Via Antonio Adamini 20, 6900 Lugano, Suiza",colorado.ch,+41 91 994 16 31,hotel@colorado.ch,177,281
Swiss Diamond Hotel Lugano,Hotel de 5 estrellas elegante con spa y 3 restaurantes,"Vico Morcote, Suiza","Riva lago Olivella 29, 6921 Vico Morcote, Suiza",swissdiamondhotel.com,+41 91 735 00 00,info@swissdiamondhotel.com,348,1006
Hotel Victoria au Lac,Hotel de 3 estrellas,"Paradiso, Suiza","Via Generale Guisan 3, 6900 Paradiso, Suiza",victoriahotel.ch,+41 91 994 20 31,info@victoriahotel.ch,182,598
Hotel Dischma,Hotel,"Paradiso, Suiza","Vicolo Geretta 6, 6900 Paradiso, Suiza",hotel-dischma-lugano.ch,+41 91 994 21 31,info@hotel-dischma-lugano.ch,100,444
Hotel Walter Au Lac,Hotel de 3 estrellas,"Lugano, Suiza","Piazza Riziero Rezzonico 7, 6900 Lugano, Suiza",walteraulac.ch,+41 91 922 74 25,hotel@walteraulac.ch,269,449
Grand Hotel Campione,Hotel de 5 estrellas,"Campione d'Italia, Como, Italia",NO_ADDRESS,ghcampione.com,+41 91 649 50 60,info@ghcampione.com,236,258
