name,category,city,address,email,website,phone,price,n_reviews
Grand Hotel Des Bains Kempinski St. Moritz,Hotel de 5 estrellas lujoso con spa y restaurantes,"Sankt Moritz, Suiza","Via Mezdi 27, 7500 St. Moritz, Suiza",email@example.com,kempinski.com,+41 81 838 38 38,499,900
Hotel Giardino Mountain,Hotel de 5 estrellas,"Sankt Moritz, Suiza","Via Maistra 3, 7512 St Moritz, Suiza",reservation@giardino.ch,giardinohotels.ch,+41 81 836 63 00,216,202
Berghotel Randolins St. Moritz,Hotel de 3 estrellas,"Sankt Moritz, Suiza","Via Curtins 2, 7500 St. Moritz, Suiza",willkommen@randolins.ch,randolins.ch,+41 81 830 83 83,234,419
Hotel Soldanella,Hotel de 3 estrellas,"Sankt Moritz, Suiza","Via Somplaz 17, 7500 St. Moritz, Suiza",info@hotel-soldanella.ch,hotel-soldanella.ch,+41 81 830 85 00,231,382
Hotel GRACE LA MARGNA ST MORITZ,Hotel de 5 estrellas rústico con restaurante refinado,"Sankt Moritz, Suiza","Via Serlas 5, 7500 St. Moritz, Suiza",info@gracehotels.com,gracehotels.com,+41 81 832 22 10,601,117
Art Boutique Hotel Monopol,Hotel de 4 estrellas,"Sankt Moritz, Suiza","Via Maistra 17, 7500 St Moritz, Suiza",artboutique@monopol.ch,monopol.ch,+41 81 837 04 04,334,301
Suvretta House,Hotel de 5 estrellas,"Sankt Moritz, Suiza","Via Chasellas 1, 7500 St. Moritz, Suiza",info@suvrettahouse.ch,suvrettahouse.ch,+41 81 836 36 36,614,508
Hotel Piz,Hotel de 3 estrellas,"Sankt Moritz, Suiza","Via dal Bagn 6, 7500 St. Moritz, Suiza",info@piz-stmoritz.ch,piz-stmoritz.ch,+41 81 832 11 11,271,638
ALL IN ONE HOTEL INN LODGE,Posada,"Celerina/Schlarigna, Suiza","Via Nouva 3, 7505 Celerina/Schlarigna, Suiza",info@cs2.ch,innlodge.ch,+41 81 834 47 95,138,398
Hotel Chesa Languard,Hotel con vistas al lago St. Moritz,"Sankt Moritz, Suiza","Via Veglia 14, 7500 St. Moritz, Suiza",NO_EMAIL,hotel-languard.ch,+41 81 833 31 37,254,190
Cresta Palace Hotel,Hotel de 4 estrellas chic con spa y restaurantes,"Celerina/Schlarigna, Suiza","St. Moritz CH, Via Maistra 75, 7505 Celerina/Schlarigna, Suiza",welcome@crestapalace.ch,crestapalace.ch,+41 81 836 56 56,269,312
