name,category,city,address,email,website,phone,price,n_reviews
Flumserberg,Estación de esquí ·  · Molseralpstrasse 9Cerrado ⋅ Apertura: 8:15 (mar),"Quarten, Suiza","Molseralpstrasse 9, 8898 Flumserberg, Suiza",NO_EMAIL,flumserberg.ch,+41 81 720 15 15,0,4593
Skigebiet Motta Naluns,Estación de esquí ·  · Via da Ftan 495Cerrado ⋅ Apertura: 8:30 (mar),"Scuol, Suiza","Via da Ftan 495, 7550 Scuol, Suiza",info@bergbahnen-scuol.ch,bergbahnen-scuol.ch,+41 81 861 14 14,0,688
Verbier,Estación de esquí ·  · Rte de Verbier Station 61Cerrado ⋅ Apertura: 8:00 (mar),"Verbier, Val de Bagnes, Suiza","Rte de Verbier Station 61, 1936 Verbier, Suiza",NO_EMAIL,verbier.ch,+41 27 775 38 88,0,1512
Parsenn,"Estación de esquí · Dorf CH, Promenade 157Estación de esquí con una pista de 12 km","Davos, Suiza","Dorf CH, Promenade 157, 7260 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 67 57,0,1000
Andermatt-Sedrun-Disentis,Estación de esquí ·  · Bahnhofpl. 3Pistas de esquí y senderos en un complejo alpino,"Andermatt, Suiza","Bahnhofpl. 3, 6490 Andermatt, Suiza",NO_EMAIL,andermatt-sedrun-disentis.ch,+41 58 200 68 68,0,742
St. Moritz - moste,Estación de esquí ·  · Via San Gian 30,NO_CITY,"Via San Gian 30, 7500 St. Moritz, Suiza",info@cs2.ch,mountains.ch,NO_PHONE,0,190
Schwarzsee ski area,Estación de esquí · ,"Plaffeien, Suiza",NO_ADDRESS,info@schwarzsee-tourismus.ch,schwarzsee.ch,+41 26 412 13 13,0,1054
Villars - Gryon,Estación de esquí ·  · Rte des Layeux 26Cerrado ⋅ Apertura: 9:00 (mar),"Villars-sur-Ollon, Ollon, Suiza","Rte des Layeux 26, 1885 Villars-sur-Ollon, Suiza",NO_EMAIL,alpesvaudoises.ch,+41 24 495 81 13,0,530
Grindelwald Ski Resort,Estación de esquí · Dorfstrasse 187,NO_CITY,"Dorfstrasse 187, 3818 Grindelwald, Suiza",nan,NO_WEBSITE,NO_PHONE,0,27
Jungfrau Ski Region - Mürren - Schilthorn,Estación de esquí · Cerrado ⋅ Apertura: 9:00 (mar),NO_CITY,NO_ADDRESS,NO_EMAIL,schilthorn.ch,NO_PHONE,0,301
Kleine Scheidegg,Estación de esquí ·  · Kleine Scheidegg 3Cerrado ⋅ Apertura: 9:00 (mar),NO_CITY,"Kleine Scheidegg 3, 3823 Grindelwald, Suiza",info@jungfrau.ch,jungfrau.ch,NO_PHONE,0,2437
Aletsch Arena,Estación de esquí ·  · Furkastrasse 39Cerrado ⋅ Apertura: 8:30 (mar),"Mörel-Filet, Suiza","Furkastrasse 39, 3983 Mörel-Filet, Suiza",info@aletscharena.ch,aletscharena.ch,+41 27 928 58 58,0,1498
Diavolezza-Lagalb AG,Estación de esquí ·  · Bernina Suot 6Cerrado ⋅ Apertura: 8:20 (mar),"Pontresina, Suiza","Bernina Suot 6, 7504 Pontresina, Suiza",info@corvatsch.ch,corvatsch-diavolezza.ch,+41 81 838 73 73,0,933
Rosswald,Estación de esquí · RosswaldCierra pronto ⋅ 19:15 ⋅ Apertura: 7:30 (mar),"Termen, Suiza","Rosswald, 3913 Rosswaldstrasse, Suiza",info@rosswald-bahnen.ch,rosswald-bahnen.ch,+41 27 923 20 04,0,387
Flims Laax Falera,Estación de esquí · Cerrado ⋅ Apertura: 8:00 (mar),"Falera, Suiza",NO_ADDRESS,NO_EMAIL,laax.com,+41 81 920 92 00,0,1462
Gemsstock (Andermatt),Estación de esquí · Gemsstock,"Andermatt, Suiza","Gemsstock, 6490 Andermatt, Suiza",NO_EMAIL,myswitzerland.com,+41 58 200 69 69,0,90
Hoch-Ybrig,Estación de esquí ·  · Waagtalstrasse 127Estación de esquí con actividades todo el año,"Unteriberg, Suiza","Waagtalstrasse 127, 8842 Unteriberg, Suiza",NO_EMAIL,hoch-ybrig.ch,+41 55 414 60 60,0,2210
