name,category,city,email,address,website,phone,price,n_reviews
Alpenhotel Fleurs de Zermatt,Hotel de 4 estrellas,"Zermatt, Suiza",info@fleursdezermatt.ch,"Unterer Mattenweg 41, 3920 Zermatt, Suiza",fleursdezermatt.ch,+41 27 966 31 00,190,447
Hotel Alpen Resort & SPA,Hotel de 4 estrellas con pistas de tenis y piscina,"Zermatt, Suiza",info@alpenresort.com,"Spissstrasse 52, 3920 Zermatt, Suiza",alpenresort.com,+41 27 966 30 00,307,1309
Grand Hotel Zermatterhof,Hotel de 5 estrellas de lujo refinado con restaurante y spa,"Zermatt, Suiza",info@zermatterhof.ch,"Bahnhofstrasse 55, 3920 Zermatt, Suiza",zermatterhof.ch,+41 27 966 66 00,385,506
Hotel Helvetia,Hotel de 2 estrellas,"Zermatt, Suiza",mail@helvetia-zermatt.ch,"Bahnhofstrasse 72, 3920 Zermatt, Suiza",hotel-helvetia-zermatt.ch,+41 27 967 10 20,179,443
Alpine Hotel Perren,Hotel de 3 estrellas informal con vistas al Cervino,"Zermatt, Suiza",info@hotel-perren.ch,"Vispastrasse 10, 3920 Zermatt, Suiza",hotel-perren.ch,+41 27 966 52 00,229,599
Peaky Riders,Hotel,NO_CITY,bookings@peakyriders.ch,"Spissstrasse 96, 3920 Zermatt, Suiza",peakyriders.ch,NO_PHONE,175,78
Hotel Simi,Hotel de 4 estrellas,"Zermatt, Suiza",info@hotelsimi.ch,"Brantschenhaus 20, 3920 Zermatt, Suiza",hotelsimi.ch,+41 27 966 45 00,195,287
Hotel Alpina,Hotel de 2 estrellas,"Zermatt, Suiza",info@alpinazermatt.ch,"Englischer Viertel 5, 3920 Zermatt, Suiza",alpina-zermatt.ch,+41 27 967 10 50,194,188
Hotel Mountain Paradise,Hotel de 3 estrellas,"Zermatt, Suiza",info@mountainparadise.ch,"Schluhmattstrasse 130, 3920 Zermatt, Suiza",mountainparadise.ch,+41 27 966 80 40,239,180
Sonnmatten Restaurant & Suite,Hotel,"Zermatt, Suiza",info@sonnmatten.ch,"Winkelmattenweg 96, 3920 Zermatt, Suiza",sonnmatten.ch,+41 27 967 30 30,159,385
Backstage Hotel Vernissage,Restaurante · ,"Zermatt, Suiza",info@backstagehotel.ch,"Hofmattstrasse 4, 3920 Zermatt, Suiza",backstagehotel.ch,+41 27 966 69 70,289,353
Hotel Bella Vista Zermatt,Hotel de 3 estrellas informal con vistas a la montaña,"Zermatt, Suiza",hotel@bellavista-zermatt.ch,"Riedweg 15, 3920 Zermatt, Suiza",bellavista-zermatt.ch,+41 27 966 28 10,279,302
Hotel Parnass,Hotel de 3 estrellas,"Zermatt, Suiza",welcome@parnass-zermatt.ch,"Vispastrasse 4, 3920 Zermatt, Suiza",parnass-zermatt.ch,+41 27 967 11 79,226,210
Boutique Hotel Matthiol,Hotel de 4 estrellasElegante hotel rústico y spa tranquilo,"Zermatt, Suiza",info@matthiol.com,"Moosstrasse 40, 3920 Zermatt, Suiza",matthiol.ch,+41 27 968 17 17,377,370
Hotel & Solebad Arca,Hotel de 3 estrellas,"Zermatt, Suiza",info@hotel-arca.ch,"Spissstrasse 42, 3920 Zermatt, Suiza",hotel-arca.ch,+41 27 967 15 44,226,226
