name,category,n_reviews,address,website,phone,city,price,email
Hotel San Carlo,Hotel,314,"Via Nassa 28, 6900 Lugano, Suiza",hotelsancarlolugano.ch,+41 91 922 71 07,"Lugano, Suiza",124€,NO_EMAIL
Hostel Montarina,Hotel,483,"Via Montarina 1, 6900 Lugano, Suiza",montarina.ch,+41 91 966 72 72,"Lugano, Suiza",83€,info@montarina.com
Hotel Pestalozzi,Hotel,793,"Piazza Dell Indipendenza 9, 6900 Lugano, Suiza",pestalozzi-lugano.ch,+41 91 921 46 46,"Lugano, Suiza",138€,info@pestalozzi-lugano.ch
Continental Parkhotel Lugano,Hotel,781,"Via Basilea 28, 6900 Lugano, Suiza",continentalparkhotel.com,+41 91 966 11 12,"Lugano, Suiza",199€,info@continentalparkhotel.com
International au Lac Historic Lakeside Hotel,Hotel de 3 estrellas,585,"Via Nassa 68, 6900 Lugano, Suiza",hotel-international.ch,+41 91 922 75 41,"Lugano, Suiza",279€,info@hotel-international.ch
Hotel Admiral,Hotel de 4 estrellas moderno con piscina en la azotea,1314,"Via Geretta 15, 6900 Lugano, Suiza",luganohoteladmiral.com,+41 91 986 38 38,"Lugano, Suiza",194€,info@luganohoteladmiral.ch
ibis budget Lugano Paradiso,Hotel con habitaciones luminosas,552,"Via Geretta 10, 6900 Paradiso, Suiza",all.accor.com,+41 91 986 19 29,NO_CITY,148€,date-picker@1.4.0
Hotel Colorado Lugano,Hotel de 3 estrellas,281,"Via Clemente Maraini 19, Via Antonio Adamini 20, 6900 Lugano, Suiza",colorado.ch,+41 91 994 16 31,"Lugano, Suiza",177€,hotel@colorado.ch
Swiss Diamond Hotel Lugano,Hotel de 5 estrellas elegante con spa y 3 restaurantes,1006,"Riva lago Olivella 29, 6921 Vico Morcote, Suiza",swissdiamondhotel.com,+41 91 735 00 00,"Vico Morcote, Suiza",348€,info@swissdiamondhotel.com
Hotel Victoria au Lac,Hotel de 3 estrellas,598,"Via Generale Guisan 3, 6900 Paradiso, Suiza",victoriahotel.ch,+41 91 994 20 31,"Paradiso, Suiza",184€,info@victoriahotel.ch
Hotel Dischma,Hotel,444,"Vicolo Geretta 6, 6900 Paradiso, Suiza",hotel-dischma-lugano.ch,+41 91 994 21 31,"Paradiso, Suiza",101€,info@hotel-dischma-lugano.ch
Hotel Walter Au Lac,Hotel de 3 estrellas,449,"Piazza Riziero Rezzonico 7, 6900 Lugano, Suiza",walteraulac.ch,+41 91 922 74 25,"Lugano, Suiza",269€,hotel@walteraulac.ch
Grand Hotel Campione,Hotel de 5 estrellas,258,NO_ADDRESS,ghcampione.com,+41 91 649 50 60,"Campione d'Italia, Como, Italia",236€,info@ghcampione.com
Nassa,Hotel modesto con vistas al lago,343,"Via Nassa 60, 6900 Lugano, Suiza",NO_WEBSITE,NO_PHONE,NO_CITY,193€,
Novotel Lugano Paradiso,Hotel de 4 estrellas,878,"Viale S. Salvatore 11, 6900 Paradiso, Suiza",all.accor.com,+41 91 985 09 09,"Paradiso, Suiza",304€,date-picker@1.4.0
LUGANODANTE - We Like You,Hotel de 4 estrellas sofisticado con coctelería,1011,"Piazza Cioccaro 5, 6900 Lugano, Suiza",luganodante.com,+41 91 910 57 00,"Lugano, Suiza",283€,info@luganodante.com
Villa Principe Leopoldo,Hotel de 5 estrellas selecto con vistas al lago,1037,"Via Montalbano 5, 6900 Lugano, Suiza",leopoldohotel.com,+41 91 985 88 55,"Lugano, Suiza",316€,info@leopoldohotel.com
Hotel Federale Lugano,Hotel de 3 estrellas,724,"Via Paolo Regazzoni 8, 6900 Lugano, Suiza",hotel-federale.ch,+41 91 910 08 08,"Lugano, Suiza",257€,info@hotel-federale.ch
Best Western Hotel Bellevue au Lac,Hotel de 4 estrellas,349,"Riva Antonio Caccia 10, 6900 Lugano, Suiza",hotelbellevue.ch,+41 91 994 33 33,"Lugano, Suiza",290€,info@hotelbellevue.ch
Hotel ibis Lugano Paradiso,Hotel de 3 estrellas,823,"Via Geretta 10A, 6900 Paradiso, Suiza",all.accor.com,+41 91 986 19 09,NO_CITY,161€,date-picker@1.4.0
"Villa Sassa Hotel, Residence & Spa","Hotel de 4 estrellas con restaurante, piscinas y spa",1056,"Via Tesserete 10, 6900 Lugano, Suiza",villasassa.ch,+41 91 911 41 11,"Lugano, Suiza",357€,info@villasassa.ch
Hotel Federale Lugano,Hotel de 3 estrellas,724,"Via Paolo Regazzoni 8, 6900 Lugano, Suiza",hotel-federale.ch,+41 91 910 08 08,"Lugano, Suiza",257€,info@hotel-federale.ch
Hotel City Lugano,Hotel de 4 estrellas,446,"Via Giuseppe Bagutti 4, 6900 Lugano, Suiza",hotelcitylugano.ch,+41 91 222 09 00,"Lugano, Suiza",196€,city@hotelcitylugano.ch
Hotel ibis Lugano Paradiso,Hotel de 3 estrellas,823,"Via Geretta 10A, 6900 Paradiso, Suiza",all.accor.com,+41 91 986 19 09,NO_CITY,161€,date-picker@1.4.0
Best Western Hotel Bellevue au Lac,Hotel de 4 estrellas,349,"Riva Antonio Caccia 10, 6900 Lugano, Suiza",hotelbellevue.ch,+41 91 994 33 33,"Lugano, Suiza",290€,info@hotelbellevue.ch
Hotel Delfino Lugano,Hotel de 3 estrellas,860,"Hotel Delfino Lugano, Via Cassarinetta 6, 6900 Lugano, Suiza",hoteldelfinolugano.ch,+41 91 985 99 99,"Lugano, Suiza",212€,info@hoteldelfinolugano.ch
Suitenhotel Parco Paradiso,Hotel de 4 estrellas,916,"Via Carona 27, 6900 Paradiso, Suiza",parco-paradiso.com,+41 91 993 11 11,"Paradiso, Suiza",313€,core-js-bundle@3.2.1
Lugano Centre Room,Pensión,72,"Via Miravalle 8, 6900 Massagno, Suiza",NO_WEBSITE,NO_PHONE,NO_CITY,80€,
Hotel Campione,Hotel,339,"Via Campione 62, 6816 Bissone, Suiza",hotel-campione.ch,+41 91 640 16 16,"Bissone, Suiza",222€,info@hotel-campione.ch
Hotel Acquarello Swiss Quality,Hotel,447,"Piazza Cioccaro 9, 6900 Lugano, Suiza",acquarello.ch,+41 91 911 68 68,"Lugano, Suiza",174€,info@acquarello.ch
GuestHouse Lugano Center,Alojamiento de autoservicio,614,"Via Silvio Calloni 2, 6900 Lugano, Suiza",luganoguesthouse.com,+41 91 601 04 37,"Lugano, Suiza",115€,info@luganoguesthouse.com
Hotel Besso Lugano,Hotel de 2 estrellas urbano con vistas a la montaña,334,"Via Besso 24, 6900 Lugano, Suiza",hotelbesso.ch,+41 91 967 23 12,"Lugano, Suiza",164€,info@hotelbesso.ch
Hotel Zurigo Downtown,Hotel de 3 estrellas,263,"Corso Enrico Pestalozzi 13, 6900 Lugano, Suiza",hotelzurigo.ch,+41 91 923 43 43,"Lugano, Suiza",231€,hotelzurigo@horizoncollection.ch
Hotel Splendide Royal Lugano,Hotel de 5 estrellas de lujo junto al lago con restaurante,1204,"Riva Antonio Caccia 7, 6900 Lugano, Suiza",splendide.ch,+41 91 985 77 11,"Lugano, Suiza",,hr@splendide.ch
Park Hotel Principe - Collina d'Oro,Hotel de 4 estrellas,261,"Via Montalbano 19, 6900 Lugano, Suiza",parkhotelprincipe.com,+41 91 985 86 43,"Lugano, Suiza",199€,info@parkhotelprincipe.com
