name,category,n_reviews,address,website,phone,city,price,email
Hotel San Carlo,Hotel,314,"Via Nassa 28, 6900 Lugano, Suiza",hotelsancarlolugano.ch,+41 91 922 71 07,"Lugano, Suiza",134€,NO_EMAIL
Hostel Montarina,Hotel,483,"Via Montarina 1, 6900 Lugano, Suiza",montarina.ch,+41 91 966 72 72,"Lugano, Suiza",84€,info@montarina.com
Hotel Pestalozzi,Hotel,792,"Piazza Dell Indipendenza 9, 6900 Lugano, Suiza",pestalozzi-lugano.ch,+41 91 921 46 46,"Lugano, Suiza",138€,info@pestalozzi-lugano.ch
Hotel Splendide Royal Lugano,Hotel de 5 estrellas de lujo junto al lago con restaurante,1204,"Riva Antonio Caccia 7, 6900 Lugano, Suiza",splendide.ch,+41 91 985 77 11,"Lugano, Suiza",539€,hr@splendide.ch
International au Lac Historic Lakeside Hotel,Hotel de 3 estrellas,584,"Via Nassa 68, 6900 Lugano, Suiza",hotel-international.ch,+41 91 922 75 41,"Lugano, Suiza",308€,info@hotel-international.ch
Hotel Admiral,Hotel de 4 estrellas moderno con piscina en la azotea,1314,"Via Geretta 15, 6900 Lugano, Suiza",luganohoteladmiral.com,+41 91 986 38 38,"Lugano, Suiza",195€,info@luganohoteladmiral.ch
ibis budget Lugano Paradiso,Hotel con habitaciones luminosas,552,"Via Geretta 10, 6900 Paradiso, Suiza",all.accor.com,+41 91 986 19 29,NO_CITY,148€,date-picker@1.4.0
Continental Parkhotel Lugano,Hotel,780,"Via Basilea 28, 6900 Lugano, Suiza",continentalparkhotel.com,+41 91 966 11 12,"Lugano, Suiza",272€,info@continentalparkhotel.com
Hotel Colorado Lugano,Hotel de 3 estrellas,281,"Via Clemente Maraini 19, Via Antonio Adamini 20, 6900 Lugano, Suiza",colorado.ch,+41 91 994 16 31,"Lugano, Suiza",177€,hotel@colorado.ch
Hotel Victoria au Lac,Hotel de 3 estrellas,598,"Via Generale Guisan 3, 6900 Paradiso, Suiza",victoriahotel.ch,+41 91 994 20 31,"Paradiso, Suiza",184€,info@victoriahotel.ch
Hotel Dischma,Hotel,444,"Vicolo Geretta 6, 6900 Paradiso, Suiza",hotel-dischma-lugano.ch,+41 91 994 21 31,"Paradiso, Suiza",101€,info@hotel-dischma-lugano.ch
Grand Hotel Campione,Hotel de 5 estrellas,257,NO_ADDRESS,ghcampione.com,+41 91 649 50 60,"Campione d'Italia, Como, Italia",236€,info@ghcampione.com
Hotel Walter Au Lac,Hotel de 3 estrellas,448,"Piazza Riziero Rezzonico 7, 6900 Lugano, Suiza",walteraulac.ch,+41 91 922 74 25,"Lugano, Suiza",269€,hotel@walteraulac.ch
Swiss Diamond Hotel Lugano,Hotel de 5 estrellas elegante con spa y 3 restaurantes,1006,"Riva lago Olivella 29, 6921 Vico Morcote, Suiza",swissdiamondhotel.com,+41 91 735 00 00,"Vico Morcote, Suiza",413€,info@swissdiamondhotel.com
