name,category,n_reviews,address,website,phone,city,price
Hostel Montarina,Hotel,487,"Via Montarina 1, 6900 Lugano, Suiza",montarina.ch,+41 91 966 72 72,"Lugano, Suiza",81€
Hotel Splendide Royal Lugano,Hotel de 5 estrellas de lujo junto al lago con restaurante,1210,"Riva Antonio Caccia 7, 6900 Lugano, Suiza",splendide.ch,+41 91 985 77 11,"Lugano, Suiza",471€
Hotel Pestalozzi,Hotel,804,"Piazza Dell Indipendenza 9, 6900 Lugano, Suiza",pestalozzi-lugano.ch,+41 91 921 46 46,"Lugano, Suiza",137€
Hotel Admiral,Hotel de 4 estrellas moderno con piscina en la azotea,1322,"Via Geretta 15, 6900 Lugano, Suiza",luganohoteladmiral.com,+41 91 986 38 38,"Lugano, Suiza",166€
Hotel San Carlo,Hotel,321,"Via Nassa 28, 6900 Lugano, Suiza",hotelsancarlolugano.ch,+41 91 922 71 07,"Lugano, Suiza",154€
Continental Parkhotel Lugano,Hotel,782,"Via Basilea 28, 6900 Lugano, Suiza",continentalparkhotel.com,+41 91 966 11 12,"Lugano, Suiza",212€
International au Lac Historic Lakeside Hotel,Hotel de 3 estrellas,589,"Via Nassa 68, 6900 Lugano, Suiza",hotel-international.ch,+41 91 922 75 41,"Lugano, Suiza",288€
ibis budget Lugano Paradiso,Hotel con habitaciones luminosas,559,"Via Geretta 10, 6900 Paradiso, Suiza",all.accor.com,+41 91 986 19 29,NO_CITY,133€
Villa Principe Leopoldo,Hotel de 5 estrellas selecto con vistas al lago,1040,"Via Montalbano 5, 6900 Lugano, Suiza",leopoldohotel.com,+41 91 985 88 55,"Lugano, Suiza",279€
Hotel Federale Lugano,Hotel de 3 estrellas,728,"Via Paolo Regazzoni 8, 6900 Lugano, Suiza",hotel-federale.ch,+41 91 910 08 08,"Lugano, Suiza",217€
Youth Hostel Lugano Savosa,Ostello della gioventù,402,"Via Cantonale 13, 6942 Savosa, Suiza",youthhostel.ch,+41 91 966 27 28,"Savosa, Suiza",65€
Hotel Victoria au Lac,Hotel de 3 estrellas,601,"Via Generale Guisan 3, 6900 Paradiso, Suiza",victoriahotel.ch,+41 91 994 20 31,"Paradiso, Suiza",182€
Hotel Firenze Lugano,Hotel,243,"Str. di Gandria 1, 6976 Lugano, Suiza",ristorantefirenze.ch,+41 91 224 62 33,"Lugano, Suiza",109€
Grand Hotel Campione,Hotel de 5 estrellas,261,NO_ADDRESS,ghcampione.com,+41 91 649 50 60,"Campione d'Italia, Como, Italia",233€
Hotel Colorado Lugano,Hotel de 3 estrellas,283,"Via Clemente Maraini 19, Via Antonio Adamini 20, 6900 Lugano, Suiza",colorado.ch,+41 91 994 16 31,"Lugano, Suiza",185€
Hotel Delfino Lugano,Hotel de 3 estrellas,865,"Hotel Delfino Lugano, Via Cassarinetta 6, 6900 Lugano, Suiza",hoteldelfinolugano.ch,+41 91 985 99 99,"Lugano, Suiza",168€
Nassa,Hotel modesto con vistas al lago,346,"Via Nassa 60, 6900 Lugano, Suiza",NO_WEBSITE,NO_PHONE,NO_CITY,191€
Novotel Lugano Paradiso,Hotel de 4 estrellas,889,"Viale S. Salvatore 11, 6900 Paradiso, Suiza",all.accor.com,+41 91 985 09 09,"Paradiso, Suiza",296€
Swiss Diamond Hotel Lugano,Hotel de 5 estrellas elegante con spa y 3 restaurantes,1021,"Riva lago Olivella 29, 6921 Vico Morcote, Suiza",swissdiamondhotel.com,+41 91 735 00 00,"Vico Morcote, Suiza",425€
LUGANODANTE - We Like You,Hotel de 4 estrellas sofisticado con coctelería,1012,"Piazza Cioccaro 5, 6900 Lugano, Suiza",luganodante.com,+41 91 910 57 00,"Lugano, Suiza",286€
Hotel Colorado Lugano,Hotel de 3 estrellas,283,"Via Clemente Maraini 19, Via Antonio Adamini 20, 6900 Lugano, Suiza",colorado.ch,+41 91 994 16 31,"Lugano, Suiza",185€
Novotel Lugano Paradiso,Hotel de 4 estrellas,889,"Viale S. Salvatore 11, 6900 Paradiso, Suiza",all.accor.com,+41 91 985 09 09,"Paradiso, Suiza",296€
Grand Hotel Villa Castagnola,Hotel de 5 estrellas,715,"Viale Castagnola 31, 6900 Lugano, Suiza",villacastagnola.com,+41 91 973 25 55,"Lugano, Suiza",530€
LUGANODANTE - We Like You,Hotel de 4 estrellas sofisticado con coctelería,1012,"Piazza Cioccaro 5, 6900 Lugano, Suiza",luganodante.com,+41 91 910 57 00,"Lugano, Suiza",286€
Hotel Riviera,Hotel de 3 estrellas,267,"Lungolago Giuseppe Motta 7, 6815 Melide, Suiza",hotel-riviera.ch,+41 91 640 15 00,"Melide, Suiza",279€
Lido Seegarten,Hotel de 4 estrellas,675,"Viale Castagnola 22, 6900 Lugano, Suiza",hotellido-lugano.com,+41 91 973 63 63,"Lugano, Suiza",472€
Suitenhotel Parco Paradiso,Hotel de 4 estrellas,919,"Via Carona 27, 6900 Paradiso, Suiza",parco-paradiso.com,+41 91 993 11 11,"Paradiso, Suiza",266€
Best Western Hotel Bellevue au Lac,Hotel de 4 estrellas,353,"Riva Antonio Caccia 10, 6900 Lugano, Suiza",hotelbellevue.ch,+41 91 994 33 33,"Lugano, Suiza",277€
Hotel Walter Au Lac,Hotel de 3 estrellas,451,"Piazza Riziero Rezzonico 7, 6900 Lugano, Suiza",walteraulac.ch,+41 91 922 74 25,"Lugano, Suiza",353€
Hotel ibis Lugano Paradiso,Hotel de 3 estrellas,829,"Via Geretta 10A, 6900 Paradiso, Suiza",all.accor.com,+41 91 986 19 09,NO_CITY,161€
Hotel Dischma,Hotel,447,"Vicolo Geretta 6, 6900 Paradiso, Suiza",hotel-dischma-lugano.ch,+41 91 994 21 31,"Paradiso, Suiza",105€
